## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.industry_rank,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.product,entity.custom8,entity.custom9,entity.custom10,entity.employee_range
casestudy_lonsec-fiscal,lonsec-fiscal,casestudy, ,https://www.concur.com.au/sites/default/files/au/lonsec_fiscal.jpg, ,https://www.concur.com.au/casestudy/lonsec-fiscal, , , ,0,Financial Services,110,Australia,AU,Concur Travel,, , ,100 - 499
casestudy_lindt,lindt,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/lindt-logo-900x550.jpg, ,https://www.concur.com.au/casestudy/lindt, , , ,0,Food,15000,Germany,AU,Concur Expense,, , ,"10,000 - 49,999"
casestudy_cook-medical,cook-medical,casestudy, ,https://www.concur.com.au/sites/default/files/au/cm_rgb.jpg, ,https://www.concur.com.au/casestudy/cook-medical, , , ,0,Healthcare,1300,Australia,AU,Concur Expense,, , ,"1,000 - 1,999"
casestudy_mushroom-group,mushroom-group,casestudy, ,https://www.concur.com.au/sites/default/files/au/mushroom_group_logo.png, ,https://www.concur.com.au/casestudy/mushroom-group, , , ,0,Hospitality and Leisure,250,ANZ,AU,Concur Expense,, , ,100 - 499
casestudy_cirque-du-soleil,cirque-du-soleil,casestudy, ,https://www.concur.com.au/sites/default/files/au/sap_concur_cirque_du_soleil_case_study_creative_english_version_wip.jpeg, ,https://www.concur.com.au/casestudy/cirque-du-soleil, , , ,0,Hospitality and Leisure,4001,"Montreal, Quebec",AU,Concur Expense,, , ,"3,000 - 5,999"
casestudy_siemens-0,siemens-0,casestudy, ,https://www.concur.com.au/sites/default/files/au/siemens_logo_0.jpeg, ,https://www.concur.com.au/casestudy/siemens-0, , , ,0,Industrial Manufacturing,290000,"Berlin, Germany",AU,Concur Expense,, , ,"> 50,000"
casestudy_tal,tal,casestudy, ,https://www.concur.com.au/sites/default/files/au/tal_1.png, ,https://www.concur.com.au/casestudy/tal, , , ,0,Insurance,2100,Australia,AU,Concur Expense,, , ,"2,000 - 2,999"
casestudy_discovery-inc,discovery-inc,casestudy, ,https://www.concur.com.au/sites/default/files/au/logo_discovery.jpg, ,https://www.concur.com.au/casestudy/discovery-inc, , , ,0,Media and Publishing,5001,"Global (HQ in New York, USA)",AU,Concur Travel,, , ,"3,000 - 5,999"
casestudy_newcrest-mining,newcrest-mining,casestudy, ,https://www.concur.com.au/sites/default/files/au/download_0.png, ,https://www.concur.com.au/casestudy/newcrest-mining, , , ,0,Metals and Mining,6150,"Australia, India, Canada, USA",AU,Concur Expense,, , ,"6,000 - 9,999"
casestudy_diabetes-nsw-act,diabetes-nsw-act,casestudy, ,https://www.concur.com.au/sites/default/files/au/dnswv.png, ,https://www.concur.com.au/casestudy/diabetes-nsw-act, , , ,0,Nonprofit Institutions,101,Australia,AU,Concur Expense,, , ,100 - 499
