## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.product,entity.custom8,entity.custom9,entity.custom10
casestudy_orica,orica,casestudy, ,https://www.concur.com.au/sites/default/files/au/orica_logo.png, ,https://www.concur.com.au/casestudy/orica, , , , ,Construction,11500,Australia,AU,Concur Travel,,,
casestudy_rizing,rizing,casestudy, ,https://www.concur.com.au/sites/default/files/au/rizinghcm_color-positive_rgb_220-1.png, ,https://www.concur.com.au/casestudy/rizing, , , , ,Business Services,Not Found,Not Found,AU,Concur Travel,,,
casestudy_higher-education,higher-education,casestudy, ,https://www.concur.com.au/sites/default/files/au/highered_stories.jpg, ,https://www.concur.com.au/casestudy/higher-education, , , , ,Other,3001,Australia,AU,Concur Travel,,,
casestudy_public-sector,public-sector,casestudy, ,https://www.concur.com.au/sites/default/files/au/publicsector_stories.jpg, ,https://www.concur.com.au/casestudy/public-sector, , , , ,Other,3000,Australia,AU,Concur Travel,,,
casestudy_enterprise,enterprise,casestudy, ,https://www.concur.com.au/sites/default/files/au/enterprise_stories.jpg, ,https://www.concur.com.au/casestudy/enterprise, , , , ,Other,3001,Australia,AU,Concur Travel,,,
casestudy_discovery-inc,discovery-inc,casestudy, ,https://www.concur.com.au/sites/default/files/au/logo_discovery.jpg, ,https://www.concur.com.au/casestudy/discovery-inc, , , , ,Media and Publishing,5001,"Global (HQ in New York, USA)",AU,Concur Travel,,,
casestudy_cisco-systems,cisco-systems,casestudy, ,No Image, ,https://www.concur.com.au/casestudy/cisco-systems, , , , ,Professional Services,50001,"San Jose, CA",AU,Concur Travel,,,
casestudy_tal,tal,casestudy, ,https://www.concur.com.au/sites/default/files/au/tal_1.png, ,https://www.concur.com.au/casestudy/tal, , , , ,Insurance,2100,Australia,AU,Concur Expense,,,
casestudy_curtin-university,curtin-university,casestudy, ,https://www.concur.com.au/sites/default/files/au/logo_curtin_uni.jpg, ,https://www.concur.com.au/casestudy/curtin-university, , , , ,Education,3000,Australia,AU,Concur Expense,,,
casestudy_true-alliance,true-alliance,casestudy, ,https://www.concur.com.au/sites/default/files/au/ta_logo_stacked.png, ,https://www.concur.com.au/casestudy/true-alliance, , , , ,Retail,750,"Sydney, Australia",AU,Concur Expense,,,
