## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.numberofemployees,entity.companyheadquarters,entity.product,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10
casestudy_kelly,kelly,casestudy, ,https://www.concur.com/sites/default/files/kelly_354.jpg, ,https://www.concur.com/en-us/casestudy/kelly, , , , ,"7,100","Troy, Michigan",Concur Travel, , , , , 
casestudy_ocean-network-express,ocean-network-express,casestudy, ,https://www.concur.com/sites/default/files/512px-ocean_network_express_logo.png, ,https://www.concur.com/en-us/casestudy/ocean-network-express, , , , ,"14,000",Singapore,Concur Expense, , , , , 
casestudy_idp-education,idp-education,casestudy, ,https://www.concur.com/sites/default/files/idp.jpg, ,https://www.concur.com/en-us/casestudy/idp-education, , , , ,500,Not Found,Concur Expense, , , , , 
casestudy_promesa-keeping-workforce-safe-and-connected-sap-concur-sap-success-factors,promesa-keeping-workforce-safe-and-connected-sap-concur-sap-success-factors,casestudy, ,https://www.concur.com/sites/default/files/promesa_logo.png, ,https://www.concur.com/en-us/casestudy/promesa-keeping-workforce-safe-and-connected-sap-concur-sap-success-factors, , , , ,367,"Guayaquil, Ecuador",Concur Expense, , , , , 
casestudy_bic,bic,casestudy, ,https://www.concur.com/sites/default/files/bic_logo.png, ,https://www.concur.com/en-us/casestudy/bic, , , , ,11001,France,Concur Expense, , , , , 
casestudy_allbirds,allbirds,casestudy, ,https://www.concur.com/sites/default/files/allbirds_logo.png, ,https://www.concur.com/en-us/casestudy/allbirds, , , , ,501,"San Fransisco, CA",Concur Expense, , , , , 
casestudy_wb-manufacturing,wb-manufacturing,casestudy, ,https://www.concur.com/sites/default/files/wb_official_logo.jpg, ,https://www.concur.com/en-us/casestudy/wb-manufacturing, , , , ,50,"Thorp, Wisconsin",Concur Expense, , , , , 
casestudy_tech-interactive,tech-interactive,casestudy, ,https://www.concur.com/sites/default/files/thetech_thetechinteractive_logos_rgb_highres_fullcolor_utility.jpg, ,https://www.concur.com/en-us/casestudy/tech-interactive, , , , ,80,"San Jose, CA",Concur Expense, , , , , 
casestudy_penn-state,penn-state,casestudy, ,https://www.concur.com/sites/default/files/psu_hor_rgb_2c_0.png, ,https://www.concur.com/en-us/casestudy/penn-state, , , , ,"35,545","University Park, PA",Concur Travel, , , , , 
casestudy_penn-state-huron-consulting,penn-state-huron-consulting,casestudy, ,https://www.concur.com/sites/default/files/psu_hor_rgb_2c.png, ,https://www.concur.com/en-us/casestudy/penn-state-huron-consulting, , , , ,"33,545","University Park, PA",Concur Travel, , , , , 
casestudy_university-alabama,university-alabama,casestudy, ,https://www.concur.com/sites/default/files/ua-stackednameplate_capa.png, ,https://www.concur.com/en-us/casestudy/university-alabama, , , , ,"8,500","Tuscaloosa, Alabama",Concur Travel, , , , , 
casestudy_cardtronics,cardtronics,casestudy, ,https://www.concur.com/sites/default/files/cardtronics-sm-logo.png, ,https://www.concur.com/en-us/casestudy/cardtronics, , , , ,2000,"Houston, TX",Concur Travel, , , , , 
casestudy_avocados-from-mexico,avocados-from-mexico,casestudy, ,https://www.concur.com/sites/default/files/avocados_from_mexico_logo.png, ,https://www.concur.com/en-us/casestudy/avocados-from-mexico, , , , ,34,"Irving, TX",Concur Expense, , , , , 
casestudy_checkers-and-rallys,checkers-and-rallys,casestudy, ,https://www.concur.com/sites/default/files/checkers_rallys.jpg, ,https://www.concur.com/en-us/casestudy/checkers-and-rallys, , , , ,"2,700","Tampa, Florida",Concur Expense, , , , , 
casestudy_siemens,siemens,casestudy, ,https://www.concur.com/sites/default/files/siemens_logo.jpg, ,https://www.concur.com/en-us/casestudy/siemens, , , , ,"290,000","Berlin, Germany",Concur Expense, , , , , 
casestudy_bishop-wisecarver,bishop-wisecarver,casestudy, ,https://www.concur.com/sites/default/files/bishopwisecarver_logo.jpg, ,https://www.concur.com/en-us/casestudy/bishop-wisecarver, , , , ,75,"Pittsburg, CA",Concur Expense, , , , , 
casestudy_caf-america,caf-america,casestudy, ,https://www.concur.com/sites/default/files/caf_logo.png, ,https://www.concur.com/en-us/casestudy/caf-america, , , , ,78,"Alexandria, Virginia",Concur Expense, , , , , 
casestudy_serco,serco,casestudy, ,https://www.concur.com/sites/default/files/serco_ltd.png, ,https://www.concur.com/en-us/casestudy/serco, , , , ,"50,000","Hook, Hampshire, England",Concur Travel, , , , , 
casestudy_cwt,cwt,casestudy, ,https://www.concur.com/sites/default/files/cwt-logo-224x120.png, ,https://www.concur.com/en-us/casestudy/cwt, , , , ,"15,000","Minnetonka, MN",Concur Expense, , , , , 
casestudy_smith-nephew-part-1-3,smith-nephew-part-1-3,casestudy, ,https://www.concur.com/sites/default/files/life-unlimited-logo-for-corp-site-notag.png, ,https://www.concur.com/en-us/casestudy/smith-nephew-part-1-3, , , , ,"16,000","London, UK",Concur Travel, , , , , 
casestudy_barclays,barclays,casestudy, ,https://www.concur.com/sites/default/files/barclays_logo.png, ,https://www.concur.com/en-us/casestudy/barclays, , , , ,"85,000","London, UK",Concur Travel, , , , , 
casestudy_gonzaga-and-ap-automation,gonzaga-and-ap-automation,casestudy, ,https://www.concur.com/sites/default/files/gonzaga-logo_1506993845207_8817129_ver1-0-1024x576.jpg, ,https://www.concur.com/en-us/casestudy/gonzaga-and-ap-automation, , , , ,"1,200","Spokane, WA",Concur Expense, , , , , 
casestudy_plymouth-rock-assurance,plymouth-rock-assurance,casestudy, ,https://www.concur.com/sites/default/files/plymouth-rock-logo-1024x298.png, ,https://www.concur.com/en-us/casestudy/plymouth-rock-assurance, , , , ,"2,000","Boston, MA",Concur Expense, , , , , 
casestudy_simons-foundation,simons-foundation,casestudy, ,https://www.concur.com/sites/default/files/simons_foundation.png, ,https://www.concur.com/en-us/casestudy/simons-foundation, , , , ,450,"New York, NY",Concur Travel, , , , , 
casestudy_alkermes,alkermes,casestudy, ,https://www.concur.com/sites/default/files/www.biospace.jpg, ,https://www.concur.com/en-us/casestudy/alkermes, , , , ,"2,000","Boston, MA",Concur Travel, , , , , 
casestudy_servicenow-and-app-center-partner-axosnet,servicenow-and-app-center-partner-axosnet,casestudy, ,https://www.concur.com/sites/default/files/cs-servicenow-logo-tile.png.imgw_.720.720.png, ,https://www.concur.com/en-us/casestudy/servicenow-and-app-center-partner-axosnet, , , , ,8001,"Santa Clara, US",Concur Travel, , , , , 
casestudy_neosystems,neosystems,casestudy, ,https://www.concur.com/sites/default/files/ns_logo_r_cmyk.png, ,https://www.concur.com/en-us/casestudy/neosystems, , , , ,200,"Tysons Corner, Virginia",Concur Expense, , , , , 
casestudy_southeastern-university,southeastern-university,casestudy, ,https://www.concur.com/sites/default/files/seu_logo.png, ,https://www.concur.com/en-us/casestudy/southeastern-university, , , , ,1394,Not Found,Concur Expense, , , , , 
casestudy_intelligent-spend-solutions-danfoss,intelligent-spend-solutions-danfoss,casestudy, ,https://www.concur.com/sites/default/files/1280px-danfoss.svg_.png, ,https://www.concur.com/en-us/casestudy/intelligent-spend-solutions-danfoss, , , , ,"28,000","Nordborg, Denmark",Concur Expense, , , , , 
casestudy_alteryx-and-rocketrip,alteryx-and-rocketrip,casestudy, ,https://www.concur.com/sites/default/files/alteryx-logo-blue.4f4a396c1ea19b53cba46d94a4f042820e59358c.png, ,https://www.concur.com/en-us/casestudy/alteryx-and-rocketrip, , , , ,1001,"Irvine, CA",Concur Travel, , , , , 
casestudy_travel-incorporated,travel-incorporated,casestudy, ,https://www.concur.com/sites/default/files/travel-inc-logo.png, ,https://www.concur.com/en-us/casestudy/travel-incorporated, , , , ,300,"Duluth, Georgia",Concur Travel, , , , , 
casestudy_feld-entertainment,feld-entertainment,casestudy, ,https://www.concur.com/sites/default/files/feld_entertainment_logo_1.jpg, ,https://www.concur.com/en-us/casestudy/feld-entertainment, , , , ,3000,"Palmetto, Florida",Concur Expense, , , , , 
