## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.numberofemployees,entity.companyheadquarters,entity.product,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10
casestudy_merit,merit,casestudy, ,https://www.concur.com/sites/default/files/logo-merit-travel_0.png, ,https://www.concur.com/en-us/casestudy/merit, , , , ,450,"Toronto, CA",Concur Compleat, , , , , 
casestudy_gbod,gbod,casestudy, ,https://www.concur.com/sites/default/files/gbod_horiz_color_0.png, ,https://www.concur.com/en-us/casestudy/gbod, , , , ,200,"Nashville, TN",Concur Expense, , , , , 
casestudy_allen-vanguard,allen-vanguard,casestudy, ,https://www.concur.com/sites/default/files/allen_vanguard_logo_new_0.jpg, ,https://www.concur.com/en-us/casestudy/allen-vanguard, , , , ,100,"Ottawa, Ontario",Concur Travel, , , , , 
casestudy_lyndon-group,lyndon-group,casestudy, ,https://www.concur.com/sites/default/files/lyndon_group_logo.png, ,https://www.concur.com/en-us/casestudy/lyndon-group, , , , ,15,"Newport Beach, CA",Concur Travel, , , , , 
casestudy_healthcare-solutions,healthcare-solutions,casestudy, ,https://www.concur.com/sites/default/files/logo_healthcare.png, ,https://www.concur.com/en-us/casestudy/healthcare-solutions, , , , ,867,"Duluth, GA",Concur Travel, , , , , 
casestudy_novo-nordisk,novo-nordisk,casestudy, ,https://www.concur.com/sites/default/files/logo_nordisk_0.png, ,https://www.concur.com/en-us/casestudy/novo-nordisk, , , , ,"5,700","Jersey City, New Jersey",Concur Travel, , , , , 
casestudy_careerbuilder,careerbuilder,casestudy, ,https://www.concur.com/sites/default/files/logo_careerbuilder_0.png, ,https://www.concur.com/en-us/casestudy/careerbuilder, , , , ,2500,"Chicago, IL",Concur Travel, , , , , 
casestudy_salesforce,salesforce,casestudy, ,https://www.concur.com/sites/default/files/salesforce.png, ,https://www.concur.com/en-us/casestudy/salesforce, , , , ,15000,"San Francisco, CA",Concur Travel, , , , , 
casestudy_encell,encell,casestudy, ,https://www.concur.com/sites/default/files/la64234logo.jpeg, ,https://www.concur.com/en-us/casestudy/encell, , , , ,25,"Alachua, FL",Concur Small Business Edition, , , , , 
casestudy_educational-data-systems,educational-data-systems,casestudy, ,https://www.concur.com/sites/default/files/edsi_full_color.png, ,https://www.concur.com/en-us/casestudy/educational-data-systems, , , , ,650,"Dearborn, MI",Concur Expense, , , , , 
casestudy_shawmut,shawmut,casestudy, ,https://www.concur.com/sites/default/files/logo_shawmut_0_0.png, ,https://www.concur.com/en-us/casestudy/shawmut, , , , ,700,"Boston, MA",Concur Travel, , , , , 
casestudy_t-systems,t-systems,casestudy, ,https://www.concur.com/sites/default/files/logo_tsystems_0_2.png, ,https://www.concur.com/en-us/casestudy/t-systems, , , , ,800,"Chicago, IL",Concur Travel, , , , , 
casestudy_unisys,unisys,casestudy, ,https://www.concur.com/sites/default/files/unisys_sytr_cmykred_1.png, ,https://www.concur.com/en-us/casestudy/unisys, , , , ,20001,"Blue Bell, PA",Concur Travel, , , , , 
casestudy_westlake,westlake,casestudy, ,https://www.concur.com/sites/default/files/westlake-financial-servces.png, ,https://www.concur.com/en-us/casestudy/westlake, , , , ,"1,000","Los Angeles, CA",Concur Travel, , , , , 
casestudy_liz-claiborne,liz-claiborne,casestudy, ,https://www.concur.com/sites/default/files/liz-claiborne-logo.png, ,https://www.concur.com/en-us/casestudy/liz-claiborne, , , , ,"14,000","Plano, TX",Concur Expense, , , , , 
casestudy_lmi-aerospace,lmi-aerospace,casestudy, ,https://www.concur.com/sites/default/files/lmi_logo.png, ,https://www.concur.com/en-us/casestudy/lmi-aerospace, , , , ,"1,350","Saint Charles, MO",Concur Travel, , , , , 
